Id,Label,type
Winifred Westover,Winifred Westover,Actor
Charles Le Moyne,Charles Le Moyne,Actor
David Kirby,David Kirby,Actor
Cullen Landis,Cullen Landis,Actor
Gloria Hope,Gloria Hope,Actor
Frank Capra,Frank Capra,Actor
Virginia Chester,Virginia Chester,Actor
Louise Lester,Louise Lester,Actor
Claire Anderson,Claire Anderson,Actor
Jennie Lee,Jennie Lee,Actor
Seena Owen,Seena Owen,Actor
Alfred Allen,Alfred Allen,Actor
Clita Gale,Clita Gale,Actor
Arthur Shirley,Arthur Shirley,Actor
Olive Ann Alcorn,Olive Ann Alcorn,Actor
Alva D. Blake,Alva D. Blake,Actor
Olive Burton,Olive Burton,Actor
Willie Mae Carson,Willie Mae Carson,Actor
George Cole,George Cole,Actor
Frank Mayo,Frank Mayo,Actor
Elinor Fair,Elinor Fair,Actor
Robert Bolder,Robert Bolder,Actor
Ruth Royce,Ruth Royce,Actor
Ray Ripley,Ray Ripley,Actor
Bull Montana,Bull Montana,Actor
Arthur Hoyt,Arthur Hoyt,Actor
Harry Hilliard,Harry Hilliard,Actor
Beatrice Burnham,Beatrice Burnham,Actor
C.E. Anderson,C.E. Anderson,Actor
Matthew Biddulph,Matthew Biddulph,Actor
Dagmar Godowsky,Dagmar Godowsky,Actor
Buck Jones,Buck Jones,Actor
Helen Ferguson,Helen Ferguson,Actor
Georgie Stone,Georgie Stone,Actor
William Buckley,William Buckley,Actor
Edwin B. Tilton,Edwin B. Tilton,Actor
Eunice Murdock Moore,Eunice Murdock Moore,Actor
Bert Appling,Bert Appling,Actor
Slim Padgett,Slim Padgett,Actor
John B. Cooke,John B. Cooke,Actor
James J. Corbett,James J. Corbett,Actor
Richard Cummings,Richard Cummings,Actor
Cora Drew,Cora Drew,Actor
Frederick Vroom,Frederick Vroom,Actor
Mary Warren,Mary Warren,Actor
George Fisher,George Fisher,Actor
Harry Northrup,Harry Northrup,Actor
Clara Horton,Clara Horton,Actor
William Robert Daly,William Robert Daly,Actor
Dorothea Wolbert,Dorothea Wolbert,Actor
Byron Munson,Byron Munson,Actor
Charles Newton,Charles Newton,Actor
Barbara Bedford,Barbara Bedford,Actor
Jack Curtis,Jack Curtis,Actor
George Siegmann,George Siegmann,Actor
Jack McDonald,Jack McDonald,Actor
Al Fremont,Al Fremont,Actor
Edgar Jones,Edgar Jones,Actor
Irene Hunt,Irene Hunt,Actor
Eleanore Gilmore,Eleanore Gilmore,Actor
Irene Rich,Irene Rich,Actor
Helen Field,Helen Field,Actor
Edward Coxen,Edward Coxen,Actor
Barbara La Marr,Barbara La Marr,Actor
Charles Inslee,Charles Inslee,Actor
Harry Carey Jr.,Harry Carey Jr.,Actor
Charles Aber,Charles Aber,Actor
Joe Anderson,Joe Anderson,Actor
Laura Anson,Laura Anson,Actor
Walter Bacon,Walter Bacon,Actor
Robert Badger,Robert Badger,Actor
George Bastian,George Bastian,Actor
Gladys Baxter,Gladys Baxter,Actor
J.A. Beaver,J.A. Beaver,Actor
Shirley Mason,Shirley Mason,Actor
William Scott,William Scott,Actor
Elsie Bambrick,Elsie Bambrick,Actor
Carl Miller,Carl Miller,Actor
Beulah Bains,Beulah Bains,Actor
Nellie Bly Baker,Nellie Bly Baker,Actor
Edward Biby,Edward Biby,Actor
B.F. Blinn,B.F. Blinn,Actor
B. Reeves Eason Jr.,B. Reeves Eason Jr.,Actor
Fritzi Brunette,Fritzi Brunette,Actor
Murdock MacQuarrie,Murdock MacQuarrie,Actor
Mignonne Golden,Mignonne Golden,Actor
Noble Johnson,Noble Johnson,Actor
Gaston Glass,Gaston Glass,Actor
George B. Williams,George B. Williams,Actor
Martha Franklin,Martha Franklin,Actor
Arthur Rankin,Arthur Rankin,Actor
Alfred Testa,Alfred Testa,Actor
Richard Lapan,Richard Lapan,Actor
Sidney D'Albrook,Sidney D'Albrook,Actor
Baby Blumfield,Baby Blumfield,Actor
Violet Radcliffe,Violet Radcliffe,Actor
Loyal Underwood,Loyal Underwood,Actor
Al Ernest Garcia,Al Ernest Garcia,Actor
Mary Carr,Mary Carr,Actor
Lynn Hammond,Lynn Hammond,Actor
Knox Kincaid,Knox Kincaid,Actor
Joseph Monahan,Joseph Monahan,Actor
Maybeth Carr,Maybeth Carr,Actor
Robert Hazelton,Robert Hazelton,Actor
Florence Short,Florence Short,Actor
May Kaiser,May Kaiser,Actor
Claude Brooke,Claude Brooke,Actor
Percy Helton,Percy Helton,Actor
Will Walling,Will Walling,Actor
Virginia True Boardman,Virginia True Boardman,Actor
Virginia Valli,Virginia Valli,Actor
Ida Mae McKenzie,Ida Mae McKenzie,Actor
David Butler,David Butler,Actor
George Hackathorne,George Hackathorne,Actor
Pat Moore,Pat Moore,Actor
Tully Marshall,Tully Marshall,Actor
Ralph Yearsley,Ralph Yearsley,Actor
John Gilbert,John Gilbert,Actor
Gertrude Olmstead,Gertrude Olmstead,Actor
Alan Hale,Alan Hale,Actor
Eric Mayne,Eric Mayne,Actor
W.E. Lawrence,W.E. Lawrence,Actor
Richard Tucker,Richard Tucker,Actor
Phillips Smalley,Phillips Smalley,Actor
Jean Arthur,Jean Arthur,Actor
Eugenie Forde,Eugenie Forde,Actor
